Código_Actividad,identificacion,Código_Actividad,Hora del Dia,Etiqueta Interacción,Etiqueta Actividad,Etiqueta Actividad Resumida,Preocupación,Prisa,Irritación,Depresión,Tensión,Calma,Disfrute,Lugar de actividad,Zona_Actividad,Total en minutos de la actividad,Hora actividad redondeada,A_gusto_en_la_Interacción,Minutos*Preoc,Minutos*Prisa,Minutos*Irritación,Minutos*Depresión,Minutos*Tensión,Minutos*Calma,Minutos*Disfrute,Minutos*AgustInter
Claudia10103Eduardo1,Claudia10103Eduardo,Claudia10103Eduardo1,Mañana,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",7,6,2,2,2,6,6,"Viajó a algún lado (coche, caminando, bicicleta)",11,15,6:00:00,,105,90,30,30,30,90,90,
Claudia10103Eduardo2,Claudia10103Eduardo,Claudia10103Eduardo2,Mañana,Con compañeros de trabajo / escuela / club,Trabajó,Trabajó,6,6,2,1,3,3,8,Lugar de trabajo,11,60,7:00:00,8,360,360,120,60,180,180,480,480
Claudia10103Eduardo3,Claudia10103Eduardo,Claudia10103Eduardo3,Mañana,Con compañeros de trabajo / escuela / club,Comió,"Dedicación personal (comió, bañó, descansó)",7,6,1,1,3,5,8,Lugar de trabajo,11,20,8:00:00,9,140,120,20,20,60,100,160,180
Claudia10103Eduardo4,Claudia10103Eduardo,Claudia10103Eduardo4,Mañana,Con compañeros de trabajo / escuela / club,Trabajó,Trabajó,6,6,1,1,5,3,7,Lugar de trabajo,11,180,9:00:00,8,1080,1080,180,180,900,540,1260,1440
Claudia10103Eduardo5,Claudia10103Eduardo,Claudia10103Eduardo5,Mañana,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",3,6,2,1,2,6,6,"Viajó a algún lado (coche, caminando, bicicleta)",12,20,11:00:00,,60,120,40,20,40,120,120,
Claudia10103Eduardo6,Claudia10103Eduardo,Claudia10103Eduardo6,Mañana,Destinatario de nuestra actividad laboral (Cliente / paciente / alumno),Trámites,Trámites o Salud,5,4,1,1,4,5,6,"Bancos, u otra entidad financiera ",12,55,12:00:00,8,275,220,55,55,220,275,330,440
Claudia10103Eduardo7,Claudia10103Eduardo,Claudia10103Eduardo7,Tarde,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",4,6,1,1,3,5,7,"Viajó a algún lado (coche, caminando, bicicleta)",11,20,12:00:00,,80,120,20,20,60,100,140,
Claudia10103Eduardo8,Claudia10103Eduardo,Claudia10103Eduardo8,Tarde,Con compañeros de trabajo / escuela / club,Trabajó,Trabajó,7,8,1,1,4,4,7,Lugar de trabajo,11,120,13:00:00,8,840,960,120,120,480,480,840,960
Claudia10103Eduardo9,Claudia10103Eduardo,Claudia10103Eduardo9,Tarde,Con compañeros de trabajo / escuela / club,Comió,"Dedicación personal (comió, bañó, descansó)",7,6,1,1,3,5,9,Lugar de trabajo,11,15,15:00:00,9,105,90,15,15,45,75,135,135
Claudia10103Eduardo10,Claudia10103Eduardo,Claudia10103Eduardo10,Tarde,Con compañeros de trabajo / escuela / club,Trabajó,Trabajó,8,8,2,2,2,4,8,Lugar de trabajo,11,210,16:00:00,8,1680,1680,420,420,420,840,1680,1680
Claudia10103Eduardo11,Claudia10103Eduardo,Claudia10103Eduardo11,Noche,Estaba solo,Caminó a algún lado,"Viajó a algún lado (coche, caminando, bicicleta)",5,6,1,1,3,7,8,"Viajó a algún lado (coche, caminando, bicicleta)",10,20,18:00:00,,100,120,20,20,60,140,160,
